id,text,Achievement,Self-direction,Hedonism,Security,Power,Stimulation,Benevolence,Universalism,Conformity,Tradition
1,i formatted my phone i re install the app then my record all gone lucky i have account in big so i recovered all my board game list but all play record are gone i once paid for this app but all records are gone i should be able to recover since i re enter my account ,1,0,0,1,0,0,0,0,0,0
2,have to spend more to get full features ,0,0,0,0,1,0,0,0,0,0
3,lost years of my data after a mandatory update horrible ,0,0,0,1,0,0,0,0,0,0
4,really poorly designed game logging that does not align nicely with how big phrases things strongly regret the purchase additionally singing to big is not free so a total rip off really ,0,0,1,0,1,0,0,0,0,0
5,what was once something you could filter where plays were played by player is now locked behind a paywall very lame tactics developer is removing already existing features and putting them behind a paywall ,0,0,1,0,1,0,0,0,0,0
6,it literally loses all my stats every time i close the app making it useless ,1,0,0,1,0,0,0,0,0,0
7,keeps downloading unity adds onto my gallery ,0,0,0,1,0,0,0,0,0,0
8,will not let me sync with big sort of useless without that ,1,0,0,0,0,0,0,0,0,0
9,poor marketing decision to charge for every small update when an app itself is not free ,0,0,0,0,1,0,0,0,0,0
10,play filtering and more stats under another paywall basically this ruins your value proposition because you are asking of us to pay you twice to get the whole expected functionality sorry but filtering through the data is very basic feature and you can not possibly sell it as an addons i am very unhappy that my formerly favorite stats app is treating its users like this ,0,0,1,0,1,0,0,0,0,0
11,obviously good but to have more stats which i actually consider to be basic features locked behind a pay wall is extremely poor form the map price is outrageous overpriced for the relatively meager content added ,0,0,0,0,1,0,0,0,0,0
12,ui is out of date pie charts or bar are so small i do not even bother looking at them why do we need to pay extra fee to backup data one time fee should do the backup automatically as we log each play if user do not pay then yes tough luck for them want some board game challenges just search on google and find some ,1,0,0,0,1,1,0,0,0,0
13,the app is not user friendly at all i had to email support on how to authorize my sync account then disaster hit after i tried to sync the app in my new phone it erased all of my collection on big and i had to manually center it but my wishlist is gone forever as it was full with obscure games that i could never recall i had bought all of the premium features i sent an email but never received a response i am so upset i could cry ,0,1,0,1,0,0,1,0,0,0
14,disappointed that you cannot go in after you add a game and add a picture for it so wingspan the game we play most has no icon other than that its ok expected more bang for a paid for app ,1,1,1,0,0,0,0,0,0,0
15,very difficult to understand i was hoping that this would be an easy way to track winless ratios but it focuses more on tracking data about when you play games ,1,1,0,0,0,0,0,0,0,0
16,two word review moneygrabbing i really wanted to rate this well after seeing the positive reviews but i simply cannot it seems everywhere you turn in the app bar for the very basics it wants yet more cash even the link to sync for the free two weeks failed not happy and unable to get a refund as i installed it yesterday and set up the games used it today and yep no sync and all those costs would have been worth it if it were a one off cost but no not as an ongoing cost which essentially drives users to their content ,0,0,1,1,1,0,0,0,0,0
17,shame about the subscription tie in would be better if it linked with google drive or another cloud provider like almost every other singing app in the world but i guess they devs are nickel and diving the users apart from that the app works well and quite easy to add new games locations and players ,0,0,0,0,1,0,0,0,1,0
18,i exported my stats from ipad but the app on my lg will not import the back up file am i doing something wrong nevermind i am an idiot cloud synth ,0,0,0,1,0,0,0,0,0,0
19,i am glad i have downloaded the app i am a stat find when it comes to a lot of things couple issues i do have though first is trying to scroll or draw to a specific game to review previous plays i do not know if i missed something but all i have ever is just my latest game i have played second is i play almost all my games online via board game arena and ucat the import function is cool but it only loads games in the last days and there are no breakdowns of ancillary stats ,1,1,1,0,0,0,0,0,0,0
20,singing is off but otherwise cool ,0,0,0,0,0,0,0,0,0,0
21,i installed this on a new phone and was really disappointed to have lost all records as i had no idea that i had to manually back up results from the previous phone all other apps are automatically attached to the google account the new version has a symbol on indicating that a back up is needed but its too late as we have lost all plays since initially buying massive sigh ,0,0,1,1,0,0,0,0,1,0
22,great for keeping track of your games but a pain to actually add games to your collection you cannot scan a barcode so you have to search manually not too bad unless you have a game with multiple editions and boxes you have to search then add then go back to the main screen click on add again search again then add the next expansion adding homicide to this took way too long a far better streamlined add option is sorely needed ,1,0,1,0,0,0,0,0,0,0
23,so many photos have changed to i have given up with this issue and stopped adding photos ,0,0,0,1,0,0,0,0,0,0
24,this app is great and comes in handy but be aware that on top of paying for it many featurethat really should just be included are still behind an map paywall ,1,0,0,0,1,0,0,0,0,0
25,would be nice if the app had more gaming statistics like which games do i play most also i would love for the app to download game complexity from big so i can see which complexity i prefer vs who i play with ,1,1,0,0,0,0,0,0,0,0
26,i really like the ui of the game but i have stopped using it after a few days because i really miss the itemid score lists for games such as wingspan and everdell that scorepal offers and that one is free much worse ui though any chance bg stats will add this feature any time soon ,1,1,0,0,0,0,0,0,0,0
27,love this app would give be stars but i have been unable to save my plays since december or sync with big help ,0,0,1,1,0,0,0,0,0,0
28,i wish it included custom scoring labels at different multiples many games do not have a clear point system so it would be nice to track what i want and assign it the value i think it deserves example victory points health wickedness total ,0,1,0,0,0,0,0,0,0,0
29,just bought to replace score pal as that seems abandoned really liking the deep stats but as a scoring app its quite a bit weaker would be super nice to have the same scoring functionality as score pal defining and naming scoring rounds ,1,1,0,0,0,0,0,0,0,0
30,great app to keep track of your board game stats i am missing the option to auto add additional players for those players we usually play games with eg the significant other autoadd default location would also be nice ,1,0,0,0,0,0,0,0,0,0
31,needs improvement but the best one currently available the handling of coop games is really clumsy and needs to improve basic entry of information takes way more time than it should due to poor interface design adding a game can be confusing it should just default to a big lookup instead of trying to walk me thru adding a game to the database ,1,0,0,0,0,0,0,0,0,0
32,for the last year i have been using bored gamer tools to record stats but now that is disappeared this seems the next best option gt had a better ui provided more information and was free but this is fine this app is easy to use and most of the info you need is there so yeah its worth the money ,1,0,0,0,0,0,0,0,0,0
33,this app is missing one very important feature it is not solo gamer friendly for most games i need to enter atoms score but for that i need to create new player called the game and that in turn ruins my solo play statistics game is automatically noted as player ,1,0,1,0,0,0,0,0,0,0
34,great app with excellent features that other competitors cannot provide points docked for lack of game rating support lack of expansion logging support jun update my original review was written in early and not much has changed these developers are incredibly slow ,1,0,0,0,0,0,0,0,0,0
35,i really like the stat tracker i wish there was a way to share plays with friends i would like my account to reflect when my buddy records a game that i participated in without needing everyone to record it ,0,0,0,0,0,0,1,0,0,0
36,i keep finding that some plays have not been recorded edit that they are not saved games i remember playing that i have had to record as part of my challenges ,1,1,0,1,0,0,0,0,0,0
37,its a cool app but missing some features you should be able to add custom toggle or fields on each game for games with different scenarios and variations this is necessary you really cannot properly track a game engine like mage knight without more granularity also the game wide score settings need to be toggleable play by play again games with different scoring variations are impossible to track with this id also like if it had a feature to back up my own database via drugbox ,0,1,0,1,0,0,0,0,0,0
39,good app i would like expansions to be a subcategory under the base game ie in setup checkboxes to show what expansions you are using and similar checkboxes to show the specific games setup ie what cards you are using in dominion overall i think its a great game tracker though it just takes a while entering info in by hand every time you play ,1,1,0,0,0,0,0,0,0,0
40,the app updated and most all my stats so make sure you backup regularly ,1,0,0,1,0,0,0,0,0,0
41,this app makes tracking games played fun i always wanted to track my plays on big but this app enables me to do it in a way that does not annoy me my main request is that you allow the app access to the camera to make it easy to take pictures of players and games ,1,1,0,0,0,1,0,0,0,0
42,this is a great app i use it for our games nights but whenever it brings up the player list it crashes of the time ,0,0,1,1,0,0,0,0,0,0
43,nice basic features but needs to be able to capture players review of the game they have just played and upload those reviews to big either against big profiles or as cannon users this would really help when selecting what games to take to a game evening ,0,1,0,0,0,0,0,0,0,0
44,app purchase for extra statistics i bought this app for statistics in the first place also lacks simple personal collection management ,0,1,0,0,1,0,0,0,0,0
45,games with plays are crashing the app when opening them cannot retrieve game details from big interface is a bit clunky and hard to use was not parent needed to swine gameplay left and right to edit and delete ,0,1,0,1,0,0,0,0,0,0
46,great app will be stars when in last play section when opening app you add at least preferably games in a row for a quick viewing ,1,0,0,0,0,0,0,0,0,0
47,i could not find a proper forum to report bug so sharing here for a couple of days now the app keeps crashing whenever i open a logged game or try to create a new logged game setup and everything looks ok in settings plus i had not changed anything other than this big fan of the app and how it makes logging games possible keep up the good work response to dev reply thanks i look forward to the update ,0,1,0,1,0,0,1,0,0,0
48,only thing i do not like so far is that the cloud backup service is subscription based ,0,0,0,1,0,0,0,0,0,0
49,love this app and love recording all our plays on it though some things i certainly wish were better as a data june by trade the dashboarding and general visualization options are both mediocre and do things in such a way that i reckon the developers are not data experts case in point its got pie plots folks pie plots and bar plots and a couple rough timeseries plots that do not add anything that is about it however i still love it the integration with big is especially lovely ,1,1,1,0,0,0,0,0,0,0
50,really fun solid app sometimes the navigation is not the most intuitive heat map can not be viewed in portrait the process of updating expansionsselecting them is kind of a pain so i just do not do it would love to see more advanced metrics added to the insights dlc also i feel this is completely missing a way to rank games in your collection ,1,1,1,0,0,1,0,0,0,0
51,kindly also add rank based sorting ,1,0,0,0,0,0,0,0,0,0
52,its a good app with some flaws id give it a if i could sync with friends and anytime we play a game together one of us added it and wed all get the option to add it or it would auto add and i could delete if i wanted one of the thanks i saw you can send the plays which is great just wish it was a tad easier 馃榾 love the app otherwise though ,0,1,1,0,0,1,1,0,0,0
53,i have been enjoying this app and its statistics be aware that features are pay walled ultimately i use this enough for that to be worth it to me but id say this will cost you about once a year to get the latest functionality ,1,0,1,0,0,0,0,0,0,0
